%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low %dhigh  %dlow
289.156 42.4730 289.157 42.4889 0.1369 0.2038 0.0700 4.3000 2.8376
289.163 42.4780 289.161 42.4894 0.1420 0.1865 0.0976 7.3749 3.2052
289.179 42.4840 289.165 42.4928 0.1500 0.2246 0.0754 10.5887 3.4623
289.188 42.4900 289.165 42.4971 0.1239 0.2005 0.0474 6.0933 3.3960
289.183 42.4970 289.166 42.5016 0.1361 0.1483 0.1239 7.4044 3.5412
289.213 42.5150 289.195 42.5615 0.0530 0.0907 0.0153 4.6742 2.8085
289.222 42.5170 289.201 42.5630 0.0852 0.1213 0.0491 3.8320 2.4216
289.231 42.5170 289.207 42.5644 0.1061 0.1750 0.0372 4.0997 2.2998
289.236 42.5280 289.227 42.5602 0.0933 0.1076 0.0790 3.0216 2.3905
289.247 42.5600 289.242 42.5705 0.0554 0.1083 0.0024 5.9714 3.1789
289.255 42.5600 289.252 42.5737 0.0712 0.1243 0.0182 14.7170 3.0148
289.264 42.5630 289.266 42.5765 0.1061 0.1102 0.1021 3.2270 2.4438
289.273 42.5650 289.274 42.5771 0.0542 0.0763 0.0322 3.8100 2.6293
289.282 42.5660 289.285 42.5753 0.0602 0.0818 0.0386 4.0672 2.3142
289.348 42.5790 289.344 42.5817 0.1474 0.1728 0.1220 4.4162 3.0200
289.356 42.5840 289.349 42.5877 0.1583 0.2245 0.0922 4.4981 2.6586
289.372 42.5920 289.362 42.5985 0.1308 0.2028 0.0588 6.3546 3.2175
289.378 42.5990 289.367 42.6052 0.1188 0.1941 0.0435 5.1412 2.7525
289.378 42.6070 289.366 42.6133 0.1555 0.1861 0.1248 6.4305 3.1871
289.382 42.6150 289.370 42.6207 0.0442 0.0622 0.0263 5.0126 2.9523
289.399 42.6210 289.390 42.6336 0.1435 0.2351 0.0520 4.4357 2.4980
289.408 42.6210 289.395 42.6353 0.1260 0.2049 0.0470 4.0447 2.6290
289.417 42.6210 289.401 42.6359 0.1321 0.1719 0.0922 3.8843 2.4926
289.412 42.6740 289.401 42.6593 0.1834 0.1880 0.1789 7.4204 2.6773
289.398 42.6630 289.396 42.6589 0.1813 0.1975 0.1652 9.3755 2.3076
289.391 42.6680 289.391 42.6591 0.1648 0.1937 0.1358 7.8835 2.2501
289.381 42.6820 289.380 42.6586 0.0816 0.1332 0.0300 5.5654 2.0720
289.374 42.6950 289.376 42.6606 0.0736 0.0800 0.0671 6.6323 2.2283
289.321 42.6910 289.308 42.6560 0.0593 0.0923 0.0262 6.0996 2.7371
289.312 42.6930 289.303 42.6561 0.0608 0.0816 0.0400 5.7972 2.8722
289.303 42.6950 289.286 42.6612 0.0588 0.0915 0.0261 4.9567 2.6497
289.295 42.6990 289.281 42.6633 0.0493 0.1107 0.0010 5.8481 2.9612
289.287 42.7030 289.260 42.6759 0.0449 0.1038 0.0010 7.5995 2.7736
289.280 42.7080 289.257 42.6795 0.0480 0.1134 0.0010 7.1275 2.7933
289.273 42.7140 289.253 42.6822 0.0467 0.0989 0.0010 6.0317 3.0026
289.266 42.7200 289.248 42.6850 0.0424 0.1044 0.0010 6.3348 3.7380
289.260 42.7270 289.228 42.7089 0.0614 0.1009 0.0219 4.9367 3.0486
289.254 42.7340 289.224 42.7171 0.0979 0.1576 0.0381 7.3515 3.3783
289.248 42.7400 289.219 42.7254 0.0709 0.1209 0.0209 7.6187 3.6688
289.242 42.7470 289.217 42.7295 0.0737 0.1284 0.0190 7.6436 3.6050
289.237 42.7550 289.211 42.7403 0.0677 0.1069 0.0284 7.0750 3.6227
289.231 42.7620 289.206 42.7516 0.0672 0.1097 0.0247 7.8964 3.8615
289.227 42.7690 289.203 42.7603 0.0539 0.0873 0.0205 7.6626 3.7697
289.222 42.7770 289.200 42.7680 0.0680 0.1210 0.0150 7.6406 3.9617
289.218 42.7850 289.196 42.7799 0.0562 0.0839 0.0285 7.3447 4.0062
289.215 42.7940 289.194 42.7876 0.0643 0.0899 0.0387 7.5352 3.9875
289.215 42.8020 289.192 42.8006 0.0793 0.1238 0.0348 6.7432 3.6314
289.216 42.8110 289.192 42.8050 0.0801 0.1221 0.0382 7.0392 4.2502
289.213 42.8200 289.191 42.8139 0.1015 0.1328 0.0703 6.3564 4.2900
289.209 42.8280 289.190 42.8182 0.1101 0.1463 0.0738 6.4232 4.1060
289.207 42.8370 289.185 42.8356 0.0729 0.1079 0.0378 5.6789 3.6352
289.204 42.8450 289.185 42.8401 0.0737 0.1104 0.0371 5.3325 3.1614
289.203 42.8540 289.183 42.8534 0.0933 0.1159 0.0708 5.1669 3.5558
289.205 42.8630 289.183 42.8577 0.0978 0.1379 0.0577 5.8986 3.5572
