%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   236.011     45.1730    236.02877     45.17062     0      0.11420      0.17883      0.04957        14.83         6.44  7     4  2016
   236.011     45.1779    236.02913     45.17952     0      0.05937      0.07873      0.04002        14.34         4.71  7     4  2016
   236.012     45.1925    236.03041     45.19287     0      0.04605      0.07415      0.01795        12.23         4.02  7     4  2016
   236.010     45.2021    236.03094     45.20182     0      0.11220      0.16180      0.06260        15.29         9.06  7     4  2016
   236.007     45.2164    236.02690     45.21583     0      0.03402      0.15410      0.00000        28.90         3.83  7     4  2016
   236.010     45.2454    236.03056     45.24496     0      0.03098      0.04870      0.01326         8.39         3.92  7     4  2016
   236.011     45.2502    236.03135     45.24939     0      0.03643      0.05525      0.01762         7.21         3.85  7     4  2016
   236.013     45.2549    236.03226     45.25378     0      0.05065      0.07548      0.02581         8.23         3.15 3A     4  2016
   236.014     45.2596    236.03284     45.25912     0      0.05252      0.07704      0.02800         9.99         4.09  7     4  2016
   236.015     45.2693    236.03409     45.26715     0      0.06073      0.08646      0.03500        10.81         3.70  7     4  2016
   236.015     45.2742    236.03433     45.27164     0      0.03509      0.06754      0.00265         8.22         3.40  7     4  2016
   236.015     45.2840    236.03578     45.28554     0      0.04457      0.08200      0.00713        17.19         3.67  7     4  2016
   236.016     45.2888    236.03606     45.28998     0      0.12379      0.17763      0.06995        16.08         6.16  7     4  2016
   236.016     45.2937    236.03558     45.29445     0      0.06099      0.11571      0.00626        12.59         5.20  7     4  2016
   236.016     45.3083    236.03522     45.31236     0      0.05277      0.06843      0.03710         8.74         3.68  7     4  2016
   236.015     45.3130    236.03471     45.31686     0      0.05086      0.07070      0.03101         7.16         3.71  7     4  2016
   236.009     45.3813    236.03123     45.37232     0      0.05293      0.07429      0.03157         8.38         3.17 3A     4  2016
   236.010     45.3858    236.03303     45.38118     0      0.05377      0.07141      0.03614        11.87         3.45  7     4  2016
   236.011     45.3907    236.03464     45.39008     0      0.04567      0.05298      0.03836         9.18         3.55  7     4  2016
   236.011     45.3955    236.03532     45.39453     0      0.03745      0.04799      0.02692        10.08         2.90  7     4  2016
   236.013     45.4003    236.03594     45.39900     0      0.04422      0.05596      0.03249         9.96         3.31 3A     4  2016
   236.014     45.4050    236.03651     45.40345     0      0.04724      0.05571      0.03877        19.96         3.79 3A     4  2016
   236.014     45.4099    236.03694     45.40793     0      0.04381      0.05775      0.02988        23.04         3.62 3A     4  2016
   236.014     45.4147    236.03748     45.41240     0      0.05031      0.06698      0.03363         9.42         3.47  7     4  2016
   236.014     45.4196    236.03811     45.42138     0      0.04045      0.04730      0.03361        10.85         3.59  7     4  2016
   236.015     45.4245    236.03860     45.42586     0      0.04671      0.07850      0.01493        11.26         3.76  7     4  2016
   236.014     45.5097    236.04159     45.50729     0      0.04849      0.07063      0.02635         7.45         3.29  7     4  2016
   236.015     45.5145    236.04315     45.51072     0      0.07307      0.09996      0.04618         9.70         2.99  7     4  2016
   236.016     45.5192    236.04381     45.51520     0      0.03785      0.06543      0.01027        11.22         3.44  7     4  2016
   236.017     45.5240    236.04482     45.51963     0      0.05203      0.06745      0.03661        10.04         3.94  7     4  2016
   236.018     45.5288    236.04629     45.52854     0      0.05268      0.06848      0.03688        11.81         3.53  7     4  2016
   236.016     45.5433    236.04802     45.54643     0      0.03053      0.03816      0.02290         8.73         3.23  7     4  2016
   236.024     45.5806    236.04422     45.57451     0      0.06232      0.09841      0.02624         6.33         3.09  7     4  2016
   236.026     45.5851    236.04543     45.57889     0      0.04299      0.07097      0.01500         6.08         3.01  7     4  2016
   236.029     45.5944    236.04927     45.59566     0      0.03163      0.05295      0.01032         6.79         3.55  7     4  2016
   236.029     45.5993    236.04953     45.59833     0      0.04026      0.05854      0.02198         7.16         3.76  7     4  2016
   236.030     45.6041    236.05051     45.60089     0      0.02637      0.06130      0.00000         6.82         2.16  7     4  2016
   236.036     45.6328    236.05626     45.63193     0      0.05379      0.08026      0.02732         7.17         3.06  7     4  2016
   236.036     45.6425    236.05717     45.64174     0      0.04318      0.06074      0.02562         8.68         3.51  7     4  2016
