%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1525
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   235.766     41.7334    235.78356     41.75107     2      0.72122          NaN          NaN        14.68        -0.00 1A 0.65     4  2016
   235.771     41.7325    235.78615     41.75150     0      0.09706      0.24261      0.00000         6.30         4.46 6A 1.00     4  2016
   235.776     41.7316    235.78899     41.74998     0      0.11690      0.28157      0.00000        13.20         3.73 6A 1.00     4  2016
   235.781     41.7307    235.79221     41.74899     0      0.11428      0.19317      0.03539         9.00         2.84  5 0.91     4  2016
   235.786     41.7294    235.79522     41.74759     0      0.09901      0.19405      0.00397         7.30         4.92 2A 1.00     4  2016
   235.805     41.7221    235.82727     41.74385     0      0.02978      0.03741      0.02214         2.08         1.45 3A 1.00     4  2016
   235.809     41.7195    235.83650     41.73834     0      0.02908      0.03879      0.01937         1.18         0.79 3A 1.00     4  2016
   235.813     41.7165    235.84322     41.73114     0      0.03868      0.09958      0.00000         4.69         1.44 3A 1.00     4  2016
   235.816     41.7126    235.84838     41.72409     0      0.03858      0.06160      0.01556         4.10         2.96 3A 1.00     4  2016
   235.819     41.7085    235.85247     41.71763     0      0.05715      0.13269      0.00000         2.02         1.20 3A 1.00     4  2016
   235.822     41.7043    235.85577     41.71088     0      0.08389      0.11356      0.05422        16.87         3.51 3A 1.00     4  2016
   235.825     41.7002    235.85619     41.70510     0      0.11239      0.22115      0.00362        29.30         4.55 3A 1.00     4  2016
   235.828     41.6961    235.85807     41.69911     0      0.11494      0.23245      0.00000        17.43         4.52 3A 1.00     4  2016
   235.831     41.6920    235.85820     41.69410     0      0.12592      0.19904      0.05280        13.35         2.32  5 1.00     4  2016
   235.833     41.6878    235.85814     41.69029     0      0.13256      0.23555      0.02958        19.51         4.76 1A 1.00     4  2016
   235.835     41.6831    235.86007     41.68494     0      0.13434      0.21650      0.05217        27.73         3.40 6A 1.00     4  2016
   235.836     41.6783    235.86155     41.68046     0      0.14108      0.19564      0.08653        26.95         3.01  5 1.00     4  2016
   235.837     41.6733    235.86166     41.67600     0      0.13846      0.17462      0.10230        12.97         3.60 6A 1.00     4  2016
   235.838     41.6685    235.86072     41.67181     0      0.12470      0.20020      0.04919        30.71         4.77  5 1.00     4  2016
   235.841     41.6642    235.86150     41.66782     0      0.13124      0.29652      0.00000        30.07         2.70 2A 1.00     4  2016
   235.844     41.6605    235.86303     41.66567     0      0.14981      0.21718      0.08244        20.04         3.29  5 1.00     4  2016
   235.848     41.6568    235.86456     41.66239     0      0.12073      0.22059      0.02087        16.66         4.52  5 1.00     4  2016
   235.851     41.6529    235.86492     41.65890     0      0.13986      0.17499      0.10473        22.68         3.89 6A 1.00     4  2016
   235.854     41.6486    235.86817     41.65438     0      0.14881      0.16240      0.13521        29.34         4.22 2A 1.00     4  2016
   235.856     41.6441    235.87284     41.65038     0      0.15095      0.21384      0.08805        23.31         3.17  5 1.00     4  2016
   235.858     41.6395    235.87619     41.64585     0      0.14792      0.17997      0.11586        12.55         3.12 6A 1.00     4  2016
   235.859     41.6348    235.87966     41.64119     0      0.14060      0.21588      0.06531        18.00         6.35  5 1.00     4  2016
   235.862     41.6305    235.88052     41.63409     0      0.11518      0.21018      0.02018        14.17         3.95  5 1.00     4  2016
   235.865     41.6264    235.88370     41.62924     0      0.10218      0.17276      0.03161        19.57         5.45  5 1.00     4  2016
   235.868     41.6221    235.88472     41.62490     0      0.11808      0.19581      0.04035        17.70         3.81  5 1.00     4  2016
   235.870     41.6176    235.88475     41.62048     1      0.52237      1.11177      0.00000        23.28         0.00 6A 0.81     4  2016
   235.870     41.6127    235.88604     41.61820     0      0.13943      0.23549      0.04336        14.48         4.12  5 1.00     4  2016
   235.870     41.6077    235.88890     41.61399     0      0.14217      0.24126      0.04308        23.65         3.80 6A 1.00     4  2016
   235.871     41.6027    235.89499     41.60738     0      0.13482      0.24656      0.02308        20.96         4.39 6A 1.00     4  2016
   235.872     41.5979    235.89894     41.59865     0      0.10255      0.14036      0.06474         8.17         2.81 6B 1.00     4  2016
   235.875     41.5883    235.90111     41.58767     0      0.11464      0.27136      0.00000        22.35         3.73 6A 0.98     4  2016
   235.876     41.5834    235.90245     41.58516     0      0.09478      0.21402      0.00000        20.56         1.94 6A 1.00     4  2016
   235.877     41.5786    235.90079     41.58186     0      0.12726      0.19230      0.06223        12.04         4.53 2A 1.00     4  2016
   235.879     41.5739    235.90010     41.57710     0      0.14140      0.20904      0.07376        29.29         4.40 6A 1.00     4  2016
   235.880     41.5691    235.89886     41.57174     0      0.13056      0.22957      0.03155        20.16         4.75 6A 1.00     4  2016
   235.881     41.5641    235.90058     41.56683     2      3.25639          NaN          NaN        16.41         0.00 6A 0.68     4  2016
   235.881     41.5591    235.90111     41.56493     2      9.71915          NaN          NaN        12.19         0.00 1A 0.72     4  2016
   235.883     41.5545    235.90415     41.56109     0      0.10601      0.18402      0.02801        15.50         2.86 6A 1.00     4  2016
   235.885     41.5498    235.90584     41.55758     0      0.13332      0.21469      0.05194        15.48         3.39 6A 1.00     4  2016
   235.886     41.5451    235.91121     41.55140     2      1.66911          NaN          NaN        32.10        -0.00 1A 0.69     4  2016
   235.888     41.5402    235.91883     41.54757     0      0.09892      0.14240      0.05545        26.31         5.92 6A 0.95     4  2016
   235.888     41.5352    235.91917     41.54061     0      0.08295      0.09688      0.06903         1.49         1.41  4 1.00     4  2016
   235.889     41.5302    235.91809     41.53351     0      0.05515      0.07101      0.03929         5.26         3.98  5 1.00     4  2016
   235.889     41.5252    235.91735     41.52737     0      0.08844      0.21037      0.00000         1.53         1.23  4 1.00     4  2016
   235.889     41.5202    235.91827     41.52239     0      0.08632      0.15984      0.01280        27.24         4.81 2A 1.00     4  2016
   235.890     41.5153    235.91847     41.51885     0      0.09251      0.17211      0.01291        20.15         5.92  4 1.00     4  2016
   235.892     41.5105    235.91870     41.51440     0      0.10234      0.16157      0.04312        27.27         5.28  4 1.00     4  2016
   235.893     41.5056    235.91951     41.50924     2      4.97546          NaN          NaN        33.58         0.00 1A 0.71     4  2016
   235.894     41.5007    235.92271     41.50547     0      0.10060      0.15938      0.04181        29.39         5.63  5 1.00     4  2016
   235.893     41.4957    235.92458     41.50047     0      0.07779      0.13030      0.02529         2.59         2.20 3A 1.00     4  2016
   235.892     41.4908    235.92494     41.49706     0      0.07209      0.13433      0.00986        17.06         5.86 3A 1.00     4  2016
   235.891     41.4860    235.92662     41.49219     0      0.13794      0.19881      0.07707        11.15         4.88 6D 1.00     4  2016
   235.891     41.4810    235.92816     41.48796     0      0.09360      0.19538      0.00000        25.42         4.68 3A 1.00     4  2016
   235.893     41.4763    235.92953     41.48274     0      0.12896      0.21278      0.04514         8.60         1.78 3A 1.00     4  2016
   235.894     41.4714    235.93128     41.47597     2      1.14267          NaN          NaN         7.26         0.00 3A 0.67     4  2016
   235.894     41.4664    235.93340     41.47095     0      0.08534      0.12893      0.04174        20.16         5.02 3A 1.00     4  2016
   235.896     41.4616    235.93375     41.46484     0      0.03295      0.06022      0.00567        26.52         5.70 3A 1.00     4  2016
   235.897     41.4569    235.93336     41.45877     0      0.05908      0.07697      0.04120        18.39         4.39 3A 1.00     4  2016
   235.898     41.4520    235.93400     41.45159     0      0.07416      0.16417      0.00000         2.97         2.31 2A 0.88     4  2016
   235.899     41.4470    235.93425     41.44603     0      0.04294      0.09020      0.00000         5.37         0.83 3A 1.00     4  2016
   235.899     41.4420    235.93413     41.44094     0      0.06332      0.09062      0.03602         1.89         1.45 3A 1.00     4  2016
   235.898     41.4370    235.93390     41.43580     0      0.06746      0.10584      0.02908         5.68         1.47 3A 1.00     4  2016
   235.899     41.4321    235.93353     41.43048     0      0.06588      0.09075      0.04101         5.82         0.89 3A 1.00     4  2016
   235.900     41.4272    235.93307     41.42536     0      0.09555      0.17136      0.01974         5.93         0.81 3A 1.00     4  2016
   235.900     41.4221    235.93220     41.42005     0      0.05172      0.09406      0.00938         3.49         2.01 3A 1.00     4  2016
   235.900     41.4171    235.93186     41.41553     0      0.03808      0.08210      0.00000         5.78         1.32 3A 1.00     4  2016
   235.900     41.4121    235.93090     41.41013     0      0.04598      0.12120      0.00000         5.50         1.56 3A 1.00     4  2016
   235.899     41.4072    235.93004     41.40464     0      0.04698      0.09264      0.00131         5.36         3.39 3A 1.00     4  2016
   235.898     41.4025    235.92980     41.40018     0      0.07887      0.09918      0.05856         2.67         1.43 3A 1.00     4  2016
   235.896     41.3977    235.92909     41.39485     0      0.07167      0.11057      0.03277         3.82         1.43 3A 1.00     4  2016
   235.895     41.3927    235.92855     41.39043     0      0.04240      0.06005      0.02474         5.04         1.54 3A 1.00     4  2016
   235.895     41.3878    235.92804     41.38503     0      0.11139      0.17260      0.05017         5.34         1.46 3A 1.00     4  2016
   235.892     41.3837    235.92713     41.38061     0      0.05270      0.08361      0.02179         3.18         1.48 3A 1.00     4  2016
   235.890     41.3791    235.92630     41.37521     0      0.05308      0.21511      0.00000         8.32         6.01 3A 1.00     4  2016
   235.889     41.3742    235.92533     41.36983     0      0.07224      0.16446      0.00000         2.29         1.40 3A 1.00     4  2016
   235.887     41.3699    235.92427     41.36554     0      0.05356      0.19850      0.00000         6.35         5.13 3A 1.00     4  2016
   235.886     41.3649    235.92368     41.36102     0      0.07637      0.15462      0.00000         4.29         1.44 3A 1.00     4  2016
   235.887     41.3599    235.92235     41.35575     0      0.05637      0.15623      0.00000         3.59         1.46 3A 1.00     4  2016
   235.887     41.3550    235.92157     41.35126     0      0.07444      0.20143      0.00000         7.62         6.05 3A 1.00     4  2016
   235.887     41.3500    235.92023     41.34505     0      0.06568      0.09147      0.03990         7.88         5.26 3A 1.00     4  2016
   235.885     41.3451    235.91915     41.34060     0      0.06429      0.12303      0.00555        26.49         5.81 3A 1.00     4  2016
   235.884     41.3402    235.91804     41.33528     0      0.09125      0.11726      0.06523        23.92         5.51 3A 1.00     4  2016
   235.883     41.3354    235.91631     41.33004     0      0.05762      0.09837      0.01686        12.76         3.97 3A 1.00     4  2016
   235.882     41.3305    235.91544     41.32567     0      0.07344      0.10989      0.03699        29.60         3.48 3A 1.00     4  2016
   235.881     41.3256    235.91445     41.32165     0      0.06529      0.15927      0.00000        26.75         2.23 3A 1.00     4  2016
