%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1529
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   235.298     48.2786    235.31850     48.27885     0      0.13197      0.20344      0.06049        23.14         1.26 2A 0.84     4  2016
   235.297     48.2740    235.31936     48.27235     0      0.07527      0.12141      0.02914        13.83         5.01 2A 1.00     4  2016
   235.295     48.2699    235.31898     48.26607     0      0.08624      0.09711      0.07537        11.52         4.78  4 1.00     4  2016
   235.292     48.2664    235.31739     48.25986     0      0.07498      0.12649      0.02346        15.41         3.60  4 1.00     4  2016
   235.290     48.2628    235.31359     48.25418     0      0.04691      0.06052      0.03330         8.67         3.39  4 1.00     4  2016
   235.288     48.2584    235.30693     48.24983     0      0.04268      0.07839      0.00697         3.43         2.75  4 1.00     4  2016
   235.285     48.2499    235.30054     48.24550     0      0.12839      0.19019      0.06659        27.09         2.11 2A 0.92     4  2016
   235.283     48.2455    235.29720     48.24209     0      0.10866      0.29062      0.00000        31.48         3.60 2A 1.00     4  2016
   235.284     48.2365    235.29607     48.23725     0      0.10253      0.18810      0.01696        25.62         5.03 2A 1.00     4  2016
   235.285     48.2320    235.29865     48.23417     0      0.12385      0.24750      0.00020        19.81         5.44 1A 0.62     4  2016
   235.286     48.2275    235.30093     48.23053     0      0.11771      0.23394      0.00147        20.92         4.31 2A 0.99     4  2016
   235.285     48.2230    235.30628     48.22484     0      0.13507      0.19330      0.07683        17.23         4.74 6D 1.00     4  2016
   235.285     48.2185    235.30976     48.21931     0      0.14361      0.22260      0.06462        18.56         4.64 1A 1.00     4  2016
   235.284     48.2139    235.30862     48.21227     0      0.09683      0.14323      0.05042         9.76         3.32 1A 1.00     4  2016
   235.283     48.2094    235.30614     48.20531     0      0.11659      0.15020      0.08298        15.34         2.60 1A 0.81     4  2016
   235.282     48.2050    235.30402     48.19919     0      0.13609      0.19084      0.08133        10.90         3.12 1A 0.90     4  2016
   235.280     48.2009    235.30112     48.19321     0      0.14308      0.19421      0.09196        24.82         3.73 1A 0.96     4  2016
   235.277     48.1972    235.29777     48.18774     0      0.09510      0.20470      0.00000        26.98         3.39 6D 1.00     4  2016
   235.273     48.1944    235.29445     48.18363     0      0.05322      0.06853      0.03791         4.74         1.69 2A 1.00     4  2016
   235.270     48.1918    235.28703     48.18169     0      0.08489      0.14615      0.02363        15.02         4.04 1A 1.00     4  2016
   235.266     48.1891    235.28138     48.17811     0      0.13646      0.20275      0.07017        16.89         3.18 1A 1.00     4  2016
   235.262     48.1870    235.27913     48.17601     0      0.13686      0.22628      0.04744        20.55         4.36 2A 1.00     4  2016
   235.257     48.1856    235.27759     48.17454     0      0.13277      0.20650      0.05905        15.55         3.65 2A 0.98     4  2016
   235.253     48.1841    235.27578     48.17321     0      0.12849      0.16794      0.08905         8.48         4.85 2A 1.00     4  2016
   235.249     48.1826    235.27392     48.17191     0      0.10556      0.16280      0.04832        12.15         2.32 2A 1.00     4  2016
   235.244     48.1810    235.27169     48.17093     0      0.10971      0.18665      0.03277        23.97         6.64 2A 1.00     4  2016
