%USGS SPCMSC mean beach slope derived from lidar surveys from 2007-2014
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low %dhigh  %dlow
285.990 40.0833 285.965 40.0939 0.0721 0.1491 0.0010 3.9895 2.6396
286.000 40.0970 285.967 40.0982 0.0551 0.1192 0.0010 4.1174 2.7921
286.006 40.1000 285.967 40.1068 0.0579 0.0852 0.0305 4.3564 3.1306
286.017 40.1055 285.969 40.1157 0.0496 0.0779 0.0213 4.8945 3.2380
286.032 40.1167 285.975 40.1375 0.0416 0.0701 0.0130 4.6953 3.1035
286.041 40.1333 285.980 40.1549 0.0505 0.0690 0.0319 5.8505 3.2784
286.044 40.1500 285.984 40.1679 0.0414 0.0704 0.0125 3.3625 2.7537
286.050 40.1588 285.986 40.1721 0.0464 0.0782 0.0146 3.7095 3.0379
286.054 40.1667 285.991 40.1849 0.0330 0.0646 0.0015 4.1804 3.2807
286.067 40.1805 285.996 40.2050 0.0318 0.0481 0.0154 4.0545 2.9793
286.083 40.1702 285.987 40.1764 0.0459 0.1001 0.0010 3.6481 3.0764
286.087 40.1667 285.989 40.1807 0.0320 0.0660 0.0010 3.5053 2.9496
286.103 40.1667 285.994 40.2007 0.0355 0.0533 0.0177 4.3319 2.9897
286.111 40.1833 286.001 40.2178 0.0593 0.1158 0.0028 3.8953 2.7492
286.100 40.1903 286.002 40.2222 0.0496 0.0993 0.0010 4.1635 3.1437
286.050 40.2260 286.006 40.2397 0.1740 0.3584 0.0010 6.5430 2.3518
286.048 40.2333 286.007 40.2439 0.0887 0.1237 0.0536 7.2977 3.4981
286.050 40.2388 286.008 40.2483 0.1109 0.2251 0.0010 6.8470 3.4123
286.065 40.2333 286.010 40.2525 0.0627 0.0959 0.0296 5.4459 3.0761
286.067 40.2325 286.011 40.2569 0.0438 0.0758 0.0119 3.9319 3.1276
286.073 40.2333 286.012 40.2613 0.1963 0.3375 0.0551 5.8735 3.4979
286.079 40.2667 286.015 40.2710 0.1672 0.2610 0.0733 8.3967 2.9670
286.083 40.2813 286.017 40.2753 0.1169 0.2507 0.0010 2.9457 2.3309
286.084 40.2833 286.018 40.2796 0.0704 0.1667 0.0010 4.5605 2.9918
286.086 40.3000 286.024 40.3103 0.0521 0.1221 0.0010 4.9148 3.2614
286.087 40.3167 286.026 40.3280 0.0792 0.1713 0.0010 4.7492 3.2574
286.083 40.3242 286.027 40.3324 0.0499 0.0832 0.0167 4.2166 3.1790
286.083 40.3361 286.027 40.3368 0.0474 0.0894 0.0055 4.8385 3.2759
286.100 40.3411 286.028 40.3503 0.0725 0.1659 0.0010 4.2459 3.2753
286.110 40.3500 286.029 40.3548 0.0580 0.1158 0.0003 4.7371 3.3415
286.100 40.3575 286.029 40.3563 0.0309 0.0326 0.0291 4.7325 3.1584
286.083 40.3627 286.029 40.3608 0.0412 0.0664 0.0160 4.3787 3.0722
286.081 40.3667 286.028 40.3653 0.0381 0.0627 0.0136 3.9099 3.0032
286.097 40.3833 286.027 40.3743 0.0340 0.0649 0.0032 4.3088 2.7028
286.089 40.4000 286.026 40.3922 0.0445 0.0798 0.0092 4.3080 2.8532
