%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   235.694     43.4363    235.70949     43.42941     0      0.10448      0.14365      0.06532         9.27         3.61  7     4  2016
   235.696     43.4415    235.71396     43.43774     0      0.07075      0.11151      0.02999         7.73         3.16  7     4  2016
   235.701     43.4503    235.71567     43.44205     0      0.05293      0.09767      0.00819        10.44         4.05  7     4  2016
   235.704     43.4552    235.72042     43.45033     0      0.08458      0.11549      0.05367         9.83         3.42  7     4  2016
   235.707     43.4602    235.72245     43.45449     0      0.06673      0.10507      0.02838        10.29         3.28  7     4  2016
   235.708     43.4653    235.72622     43.46206     0      0.10335      0.14277      0.06394        10.17         4.54  7     4  2016
   235.714     43.4749    235.72907     43.46796     0      0.08064      0.10620      0.05508         8.55         6.13  7     4  2016
   235.718     43.4853    235.73445     43.47981     0      0.07652      0.12660      0.02644         9.06         4.42  7     4  2016
   235.721     43.4906    235.73625     43.48405     0      0.06014      0.08759      0.03269         9.26         3.92  7     4  2016
   235.726     43.5006    235.74053     43.49244     0      0.14207      0.20408      0.08005         9.70         3.28  7     4  2016
   235.727     43.5062    235.74535     43.50440     0      0.11430      0.15722      0.07137         9.46         6.01  7     4  2016
   235.729     43.5120    235.74704     43.50868     0      0.07834      0.12186      0.03483         9.30         4.32  7     4  2016
   235.732     43.5168    235.74926     43.51470     0      0.05334      0.10916      0.00000         9.41         4.07  7     4  2016
   235.734     43.5222    235.75099     43.51803     0      0.07494      0.13913      0.01076         7.87         3.46  7     4  2016
   235.738     43.5321    235.75412     43.52666     0      0.06963      0.09673      0.04253         8.88         4.17  7     4  2016
   235.744     43.5480    235.75897     43.53953     0      0.06282      0.11472      0.01092        10.21         3.78  7     4  2016
   235.756     43.5865    235.77264     43.57935     0      0.05325      0.09526      0.01125         8.97         3.73  7     4  2016
   235.759     43.5974    235.77741     43.59594     0      0.05727      0.07166      0.04288        11.14         4.21  7     4  2016
   235.761     43.6031    235.77908     43.60118     0      0.07161      0.10567      0.03754        10.72         3.58  7     4  2016
   235.762     43.6149    235.78258     43.61381     0      0.11288      0.16107      0.06469         7.40         3.54  7     4  2016
   235.763     43.6207    235.78346     43.61824     0      0.09849      0.14693      0.05005         8.95         6.11  7     4  2016
   235.767     43.6317    235.78640     43.63140     0      0.07907      0.10658      0.05157         9.65         3.25  7     4  2016
