%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1519
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   242.102     33.5926    242.10464     33.59826     0      0.12205      0.19620      0.04790         3.72         2.39  4 1.00     4  2016
   242.107     33.5916    242.10942     33.59647     0      0.09756      0.19536      0.00000         3.45         2.50 1B 1.00     4  2016
   242.112     33.5901    242.11444     33.59453     0      0.10110      0.22819      0.00000         3.12         2.08 1B 0.99     4  2016
   242.125     33.5848    242.12879     33.59141     0      0.09628      0.22941      0.00000         9.50         1.94 2A 0.98     4  2016
   242.130     33.5827    242.13254     33.58837     0      0.09978      0.24934      0.00000         6.81         3.31 2A 1.00     4  2016
   242.134     33.5806    242.13586     33.58478     0      0.09032      0.22537      0.00000         2.84         0.57 2A 0.79     4  2016
   242.138     33.5783    242.14193     33.58262     0      0.08253      0.11503      0.05003        13.59         2.23  4 1.00     4  2016
   242.143     33.5761    242.14617     33.57999     0      0.11088      0.26579      0.00000        12.79         2.86 2A 1.00     4  2016
   242.147     33.5740    242.15116     33.57825     0      0.08560      0.12085      0.05036        17.89         2.23  4 1.00     4  2016
   242.151     33.5718    242.15591     33.57612     0      0.07626      0.09857      0.05395        20.49         1.92  4 1.00     4  2016
   242.155     33.5692    242.15923     33.57395     0      0.04879      0.10594      0.00000         3.34         1.66  4 1.00     4  2016
   242.159     33.5663    242.16282     33.57063     0      0.08886      0.14877      0.02895        20.46         2.23 2A 1.00     4  2016
   242.163     33.5635    242.16666     33.56644     0      0.09313      0.16977      0.01649        22.53         3.20 3A 1.00     4  2016
   242.167     33.5608    242.17232     33.56400     0      0.09521      0.22778      0.00000        21.17         2.12 3A 1.00     4  2016
   242.171     33.5581    242.17586     33.56197     0      0.08057      0.15268      0.00845        16.45         1.73 3A 1.00     4  2016
   242.175     33.5554    242.17941     33.55852     0      0.03406      0.05909      0.00903        13.91         2.68 3A 1.00     4  2016
   242.179     33.5527    242.18025     33.55408     0      0.08380      0.18338      0.00000        21.09         1.79 2A 1.00     4  2016
   242.183     33.5499    242.18551     33.55271     0      0.07886      0.14659      0.01114        19.69         3.54 1B 1.00     4  2016
   242.187     33.5473    242.18961     33.55204     0      0.06577      0.13083      0.00070        16.94         1.60  4 1.00     4  2016
   242.192     33.5453    242.19279     33.54850     0      0.08003      0.17333      0.00000         3.72         2.69 2A 1.00     4  2016
   242.196     33.5433    242.19769     33.54670     0      0.06398      0.10913      0.01883         2.79         1.74  4 0.98     4  2016
   242.200     33.5413    242.20286     33.54529     0      0.05677      0.17563      0.00000        11.11         2.23 2A 1.00     4  2016
   242.205     33.5393    242.20873     33.54336     0      0.11995      0.24614      0.00000        13.51         1.69 6A 1.00     4  2016
   242.209     33.5366    242.21301     33.54266     0      0.10933      0.18412      0.03454        10.04         1.59  4 0.89     4  2016
   242.213     33.5338    242.21707     33.54002     0      0.11516      0.14299      0.08732         6.38         4.47 1B 1.00     4  2016
   242.216     33.5307    242.22065     33.53552     0      0.11191      0.14657      0.07725        15.12         1.97 6B 1.00     4  2016
   242.220     33.5277    242.22434     33.53116     0      0.11832      0.16690      0.06974         2.28         0.59  4 0.61     4  2016
   242.224     33.5246    242.22878     33.52711     0      0.10357      0.21412      0.00000        10.39         2.81 1B 1.00     4  2016
   242.228     33.5214    242.23296     33.52428     0      0.08367      0.16118      0.00615        16.78        -0.32 2A 0.82     4  2016
   242.231     33.5180    242.23553     33.52039     0      0.08780      0.21705      0.00000        16.96         1.63 2A 1.00     4  2016
   242.234     33.5145    242.23821     33.51758     0      0.07147      0.09488      0.04806        15.29         3.42  4 1.00     4  2016
   242.238     33.5111    242.24135     33.51433     0      0.11409      0.25904      0.00000        15.39         4.44  4 1.00     4  2016
   242.241     33.5076    242.24557     33.51161     0      0.06380      0.14261      0.00000        16.71         2.16 2A 1.00     4  2016
   242.245     33.5042    242.24860     33.50785     0      0.07086      0.17905      0.00000        16.02         4.20  4 1.00     4  2016
   242.248     33.5007    242.25233     33.50345     0      0.05732      0.12933      0.00000        26.77         3.50  4 1.00     4  2016
   242.251     33.4971    242.25632     33.49918     0      0.09018      0.15230      0.02805        18.40         3.19  4 1.00     4  2016
   242.254     33.4934    242.25976     33.49567     0      0.05587      0.08681      0.02493        23.47         3.97 2A 1.00     4  2016
   242.257     33.4896    242.26145     33.49197     0      0.06493      0.16155      0.00000        21.43         2.78 2A 1.00     4  2016
   242.260     33.4857    242.26483     33.48866     0      0.07422      0.11859      0.02985        26.62         3.49 3A 1.00     4  2016
   242.263     33.4817    242.26873     33.48440     0      0.12610      0.22870      0.02350        23.56         2.60 6B 1.00     4  2016
   242.265     33.4776    242.27382     33.48315     0      0.09590      0.17567      0.01613         9.45         1.88 6B 1.00     4  2016
   242.268     33.4737    242.27603     33.47918     0      0.08663      0.11463      0.05863        14.79         3.51 6B 1.00     4  2016
   242.271     33.4697    242.27818     33.47408     0      0.05482      0.18963      0.00000        20.51         3.97  4 1.00     4  2016
   242.273     33.4655    242.28232     33.46873     0      0.11274      0.18335      0.04213         9.91         1.27 6B 0.98     4  2016
   242.276     33.4613    242.28417     33.46549     0      0.09544      0.11914      0.07174        12.45         5.11 6B 1.00     4  2016
   242.279     33.4576    242.28508     33.46299     0      0.09764      0.12749      0.06779        13.37         2.66  4 1.00     4  2016
   242.282     33.4539    242.28477     33.46054     0      0.12537      0.23079      0.01995        31.20         2.55 2A 1.00     4  2016
   242.286     33.4514    242.28789     33.46008     0      0.14005      0.17545      0.10465        17.08         1.15 2A 0.99     4  2016
   242.290     33.4489    242.29117     33.46061     0      0.12272      0.21604      0.02940        22.19         3.34  4 1.00     4  2016
   242.308     33.4405    242.31375     33.46185     1      0.21562      0.25144      0.17979         3.70         0.58 1B 0.89     4  2016
   242.312     33.4385    242.32201     33.46065     0      0.13895      0.25841      0.01950         6.30         4.05  4 1.00     4  2016
   242.316     33.4366    242.32811     33.45692     0      0.08228      0.13037      0.03419         2.90         1.65  4 1.00     4  2016
   242.321     33.4344    242.33410     33.45305     0      0.08495      0.21391      0.00000         4.64         3.64 1B 1.00     4  2016
   242.325     33.4320    242.34070     33.44998     0      0.08833      0.16414      0.01252         3.81         3.28 1B 1.00     4  2016
   242.329     33.4296    242.34504     33.44746     0      0.10297      0.15880      0.04714         3.06         3.06 1B 1.00     4  2016
   242.333     33.4271    242.34839     33.44511     0      0.11537      0.14567      0.08506         3.29         2.82 1B 1.00     4  2016
   242.337     33.4246    242.35241     33.44213     0      0.11211      0.19254      0.03168         3.05         1.97 1B 0.93     4  2016
   242.341     33.4219    242.35829     33.43831     0      0.09076      0.14296      0.03857        25.85         6.73  4 1.00     4  2016
   242.345     33.4192    242.36293     33.43456     0      0.10472      0.17934      0.03009         2.82         1.71 1B 0.85     4  2016
   242.349     33.4164    242.36785     33.43096     0      0.11528      0.16605      0.06451         6.16         5.63 6B 1.00     4  2016
   242.353     33.4135    242.37176     33.42668     0      0.10867      0.15921      0.05813         3.72         3.18 6B 1.00     4  2016
   242.357     33.4102    242.37643     33.42295     0      0.12334      0.16830      0.07837         5.46         2.48 6B 1.00     4  2016
   242.360     33.4068    242.37913     33.42013     0      0.08819      0.14717      0.02922        10.89         5.16  4 1.00     4  2016
   242.364     33.4033    242.38205     33.41641     0      0.08878      0.12284      0.05473        12.38         5.33 1B 1.00     4  2016
   242.367     33.3998    242.38646     33.41238     0      0.11922      0.17913      0.05930         4.93         4.77 6B 1.00     4  2016
   242.370     33.3959    242.39016     33.40796     0      0.06739      0.17914      0.00000         4.47         2.83  4 1.00     4  2016
   242.372     33.3919    242.39417     33.40374     0      0.13125      0.20860      0.05389         6.14         3.43 6B 1.00     4  2016
   242.375     33.3880    242.39767     33.39924     0      0.10490      0.16778      0.04202         5.18         4.71 6B 1.00     4  2016
   242.378     33.3841    242.39954     33.39602     0      0.07464      0.11936      0.02993         5.86         4.67 6B 1.00     4  2016
   242.381     33.3806    242.40112     33.39266     0      0.09080      0.15308      0.02852         4.38         3.57 6B 1.00     4  2016
   242.385     33.3769    242.40252     33.38917     0      0.08487      0.20858      0.00000         4.32         3.82 6B 1.00     4  2016
   242.388     33.3731    242.40387     33.38679     0      0.07929      0.14643      0.01216         2.79         1.70  4 1.00     4  2016
   242.391     33.3693    242.40657     33.38522     0      0.13355      0.25703      0.01006         2.69         1.65 2A 1.00     4  2016
   242.394     33.3659    242.40959     33.38419     0      0.13567      0.18227      0.08907         2.28         1.76  4 1.00     4  2016
   242.397     33.3624    242.41308     33.38235     0      0.14102      0.19712      0.08493         3.15         1.68 2A 1.00     4  2016
   242.401     33.3592    242.41739     33.38170     0      0.09331      0.16713      0.01950         3.59         0.56 2A 1.00     4  2016
   242.405     33.3560    242.42145     33.38055     0      0.06629      0.34017      0.00000         1.99         0.56 2A 1.00     4  2016
   242.409     33.3532    242.42574     33.38010     0      0.10349      0.19208      0.01490         4.11         1.55 3A 1.00     4  2016
   242.413     33.3505    242.42961     33.37702     1      0.18536      0.21498      0.15574         2.86         0.53 1B 0.85     4  2016
   242.417     33.3481    242.43412     33.37324     0      0.08095      0.11748      0.04442         4.38         4.06 1B 1.00     4  2016
   242.421     33.3458    242.44145     33.36955     0      0.13733      0.18202      0.09264         2.69         2.09 1B 1.00     4  2016
   242.425     33.3433    242.44500     33.36753     0      0.12455      0.13338      0.11573         8.10         4.52 1B 1.00     4  2016
   242.429     33.3407    242.44990     33.36563     0      0.10345      0.15668      0.05023        15.73         3.48 3A 1.00     4  2016
   242.433     33.3379    242.45509     33.36250     0      0.13275      0.14455      0.12096        13.19         2.46 3A 1.00     4  2016
   242.437     33.3352    242.45905     33.35947     0      0.10613      0.16409      0.04818         6.34         5.10 6A 1.00     4  2016
   242.441     33.3321    242.46387     33.35589     0      0.14067      0.21167      0.06968        12.97         3.17 3A 1.00     4  2016
   242.445     33.3289    242.46881     33.35233     0      0.14185      0.23422      0.04948        30.21         4.11 2A 1.00     4  2016
   242.448     33.3261    242.47276     33.34937     0      0.08880      0.12493      0.05267         5.63         2.90 3A 1.00     4  2016
   242.452     33.3233    242.47709     33.34661     0      0.10518      0.14854      0.06181        18.44         2.08 3A 1.00     4  2016
   242.456     33.3206    242.48186     33.34298     0      0.11261      0.14065      0.08458         9.13         4.50 3A 1.00     4  2016
   242.460     33.3179    242.48573     33.33985     0      0.10412      0.12508      0.08317        27.08         5.07 3A 1.00     4  2016
   242.464     33.3150    242.48951     33.33669     0      0.09149      0.19716      0.00000        20.29         5.32 3A 0.94     4  2016
   242.468     33.3118    242.49389     33.33281     0      0.08458      0.15777      0.01138        12.44         4.43 3A 1.00     4  2016
   242.471     33.3084    242.49754     33.32943     0      0.08996      0.11601      0.06390         8.00         5.62 3A 1.00     4  2016
   242.474     33.3045    242.50247     33.32474     0      0.08923      0.12299      0.05546         7.81         4.22 3A 1.00     4  2016
   242.477     33.3009    242.50672     33.32061     0      0.08271      0.10097      0.06446        19.90         4.47 3A 1.00     4  2016
   242.481     33.2975    242.51013     33.31716     0      0.07523      0.12681      0.02364        25.62         2.42 3A 1.00     4  2016
   242.484     33.2941    242.51343     33.31362     0      0.04787      0.06865      0.02709         8.56         6.22 3A 0.99     4  2016
   242.488     33.2906    242.51687     33.31011     0      0.07314      0.10888      0.03740        29.50         5.92 3A 1.00     4  2016
   242.491     33.2872    242.52074     33.30580     0      0.06378      0.09963      0.02793        14.05         4.68 3A 1.00     4  2016
